,popularity,artist_rank,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,streams
1159,160,80,0.51,0.692,-5.825,0.171,0.00451,0.0,0.138,0.209,102.42,228361,466335
1160,161,4979,0.509,0.637,-4.83,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,224000,465664
1161,162,2500,0.7,0.139,-12.346,0.0607,0.902,0.0,0.185,0.49,84.485,206067,464948
1162,163,2500,0.772,0.547,-6.373,0.0541,0.0983,4.35e-06,0.107,0.0957,130.099,278107,464204
1163,164,2435,0.583,0.545,-11.698,0.0351,0.232,0.0,0.133,0.801,153.249,302600,460651
1164,165,5025,0.584,0.7,-4.275,0.0456,0.117,0.0,0.0939,0.438,124.944,202747,457531
1165,166,5103,0.594,0.389,-7.109,0.0517,0.785,0.0,0.0313,0.396,122.331,171093,456330
1166,167,8,0.711,0.739,-3.804,0.129,0.114,0.0,0.226,0.43,136.919,252256,451693
1167,168,2500,0.652,0.795,-5.192,0.174,0.156,0.0,0.123,0.788,135.018,304607,450488
1168,169,4978,0.426,0.177,-9.429,0.0436,0.954,0.0,0.317,0.317,133.483,170964,450319
1169,170,6381,0.706,0.674,-6.977,0.0337,0.11,0.000626,0.0784,0.545,113.956,207307,447214
1170,171,1005,0.418,0.106,-22.507,0.0448,0.994,0.0292,0.179,0.8,46.718,85267,446205
1172,173,5103,0.702,0.588,-5.914,0.0563,0.634,0.0,0.198,0.849,122.945,159973,442134
1173,174,1,0.903,0.62,-8.094,0.0587,0.00347,0.000119,0.0504,0.539,134.96,267067,441163
1174,175,5075,0.671,0.916,-4.014,0.0397,0.0282,0.00762,0.24,0.803,126.01,189127,440851
1175,176,5364,0.776,0.703,-10.696,0.0427,0.204,0.0,0.336,0.939,112.534,243400,436119
1176,177,4977,0.843,0.359,-7.417,0.461,0.069,0.0,0.12,0.156,81.987,163944,436094
1177,178,4990,0.772,0.909,-3.225,0.166,0.256,0.0,0.255,0.694,96.031,238800,435917
1178,179,4963,0.586,0.525,-7.163,0.0615,0.111,0.0,0.134,0.508,133.629,260253,435053
1179,180,4963,0.356,0.567,-7.011,0.0798,0.0861,0.0,0.137,0.109,135.553,242253,434145
1180,181,5771,0.88,0.605,-7.639,0.0531,0.104,0.00488,0.106,0.626,120.017,206099,432688
1181,182,1,0.852,0.553,-7.286,0.187,0.0559,0.0,0.332,0.656,142.079,205879,431363
1182,183,894,0.634,0.525,-8.968,0.47,0.0705,0.0,0.0729,0.49,130.271,222467,429355
1183,184,1527,0.57,0.763,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,239853,429150
1184,185,5725,0.665,0.844,-3.777,0.0273,0.171,0.0,0.225,0.665,147.073,255733,426096
1185,186,5053,0.746,0.653,-6.745,0.289,0.378,0.0,0.229,0.672,75.016,253107,425582
1187,188,56,0.312,0.418,-9.146,0.0296,0.131,0.000679,0.0836,0.237,130.795,242496,424961
1188,189,2500,0.76,0.838,-3.828,0.0529,0.547,1.3e-06,0.0664,0.745,93.05,210323,424944
1189,190,4966,0.723,0.889,-4.017,0.0939,0.0673,0.0,0.363,0.701,101.032,224320,423269
1190,191,4963,0.665,0.771,-5.779,0.0533,0.0155,9.6e-06,0.46,0.764,109.948,265600,422381
1191,192,2435,0.887,0.48,-11.994,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,193200,419275
1192,193,80,0.68,0.774,-3.136,0.0697,0.101,0.0,0.113,0.331,102.949,163841,417966
1193,194,16,0.722,0.331,-7.789,0.0726,0.337,0.282,0.146,0.102,143.961,313547,416583
1194,195,1,0.618,0.727,-7.224,0.208,0.0312,0.0,0.196,0.401,164.992,180520,414535
1196,197,5096,0.681,0.314,-9.319,0.0581,0.2,9.82e-06,0.1,0.166,139.992,208120,414350
1197,198,1027,0.675,0.937,-3.525,0.0509,0.152,0.0,0.154,0.567,103.961,218507,410270
1198,199,894,0.693,0.65,-8.376,0.192,0.0398,0.0,0.186,0.663,85.026,218480,407647
1199,200,56,0.491,0.693,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267,406833
